request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete,calc_days
CLOSED,2015-10-12,2015-10-13,Parkville,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2014-11-12,2014-11-14,Carlton North,Parks and Trees,Condition of Assets in Parks,2,2
CLOSED,2015-04-01,2015-04-08,North Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,7,7
CLOSED,2016-03-07,2016-03-15,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,8,8
CLOSED,2015-11-09,2015-11-10,Melbourne,Parks and Trees,Condition of Assets in Parks,1,1
CLOSED,2015-03-10,2015-03-12,North Melbourne,"Waste, Street Cleaning and Litter",Dumped Rubbish,2,2
CLOSED,2015-12-14,2015-12-15,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2016-04-07,2016-05-11,Carlton,Graffiti,Graffiti Removal,34,34
CLOSED,2016-03-04,2016-03-09,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,5,5
CLOSED,2016-04-27,2016-05-03,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,6,6
CLOSED,2015-10-29,2015-12-01,Melbourne,Graffiti,Graffiti Removal,33,33
CLOSED,2015-01-20,2015-01-21,South Yarra,"Waste, Street Cleaning and Litter",Street Cleaning services,1,1
CLOSED,2015-04-13,2015-04-20,West Melbourne,Parks and Trees,Tree Maintenance Services,7,7
CLOSED,2016-03-16,2016-03-18,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2,2
CLOSED,2015-01-30,2015-02-17,Parkville,Parks and Trees,Park Cleaning,18,18
CLOSED,2015-12-12,2015-12-16,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,4,4
CLOSED,2015-11-13,2015-11-17,Carlton,"Waste, Street Cleaning and Litter",Waste collection services,4,4
CLOSED,2016-02-02,2016-02-02,Melbourne,"Waste, Street Cleaning and Litter",Waste collection services,0,0
CLOSED,2015-06-12,2015-10-09,Melbourne,Graffiti,Graffiti Removal,119,119
CLOSED,2015-02-16,2015-02-19,Carlton North,Graffiti,Graffiti Removal,3,3
CLOSED,2015-12-18,2015-12-22,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,4,4
CLOSED,2015-04-06,2015-05-14,Carlton,"Waste, Street Cleaning and Litter",Dumped Rubbish,38,38
CLOSED,2015-07-30,2015-07-31,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1,1
CLOSED,2015-05-29,2015-06-04,Southbank,Parks and Trees,Condition of Assets in Parks,6,6
CLOSED,2015-10-28,2015-10-28,NA,"Waste, Street Cleaning and Litter",Syringe pick-up services,0,0
CLOSED,2015-09-18,2015-09-21,NA,"Waste, Street Cleaning and Litter",Street Cleaning services,3,3
