request_status,date_received,date_completed,suburb,category,service_desc,days_to_complete
CLOSED,2015-12-04,2015-12-07,Carlton,Parks and Trees,Tree Maintenance Services,3
CLOSED,2015-11-05,2015-12-15,Kensington,Parking,Parking Meter Service,40
CLOSED,2015-03-25,2015-04-01,Carlton,Graffiti,Graffiti Removal,7
CLOSED,2015-11-20,2015-11-24,Melbourne,Roads and Traffic,Road and Footpath Maintenance,4
CLOSED,2015-11-21,2015-11-26,South Yarra,"Waste, Street Cleaning and Litter",Public Litter Bin,5
CLOSED,2015-11-12,2015-11-18,Docklands,Parks and Trees,Lawns and Irrigation,6
CLOSED,2015-05-07,2015-05-14,Carlton,"Waste, Street Cleaning and Litter",Damaged Bins,7
CLOSED,2015-05-07,2015-05-08,Southbank,"Waste, Street Cleaning and Litter",Missing Bin,1
CLOSED,2015-08-31,2015-09-03,Melbourne,Parks and Trees,Lawns and Irrigation,3
CLOSED,2015-12-18,2015-12-21,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
CLOSED,2015-11-13,2015-11-16,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,3
CLOSED,2015-11-13,2016-01-19,Melbourne,Graffiti,Graffiti Removal,67
CLOSED,2015-10-30,2015-11-12,Melbourne,Asset maintenance,Public Toilets,13
CLOSED,2015-07-03,2015-07-15,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,12
CLOSED,2016-01-15,2016-01-22,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,7
CLOSED,2016-01-29,2016-02-03,Carlton,Graffiti,Graffiti Removal,5
CLOSED,2015-12-14,2015-12-21,East Melbourne,Graffiti,Graffiti Removal,7
CLOSED,2015-05-01,2015-05-04,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,3
CLOSED,2015-08-26,2015-08-28,North Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,2
CLOSED,2015-03-18,2015-03-31,West Melbourne,Graffiti,Graffiti Removal,13
CLOSED,2016-01-31,2016-02-09,Parkville,Graffiti,Graffiti Removal,9
CLOSED,2015-12-22,2015-12-23,Melbourne,Parks and Trees,Condition of Assets in Parks,1
CLOSED,2015-12-02,2015-12-03,Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,1
CLOSED,2015-08-28,2015-08-31,Parkville,Parks and Trees,Condition of Assets in Parks,3
CLOSED,2015-05-13,2015-07-03,Melbourne,Parks and Trees,Lawns and Irrigation,51
CLOSED,2016-03-03,2016-03-07,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
CLOSED,2016-05-01,2016-05-05,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,4
CLOSED,2016-02-26,2016-03-04,South Yarra,"Waste, Street Cleaning and Litter",Missed Bin Collection,7
CLOSED,2015-10-12,2015-10-28,North Melbourne,Graffiti,Graffiti Removal,16
CLOSED,2015-03-23,2015-03-24,North Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,1
CLOSED,2016-02-12,2016-03-11,,Graffiti,Graffiti Removal,28
CLOSED,2016-05-11,2016-06-07,,Graffiti,Graffiti Removal,27
CLOSED,2016-02-09,2016-02-12,,Asset maintenance,Street Lighting Maintenance,3
CLOSED,2016-02-12,2016-02-15,,"Waste, Street Cleaning and Litter",Street Cleaning services,3
CLOSED,2016-02-09,2016-02-11,,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
CLOSED,2016-02-10,2016-02-12,,Graffiti,Graffiti Removal,2
CLOSED,2016-05-13,2016-06-02,,Roads and Traffic,Road and Footpath Maintenance,20
CLOSED,2016-02-10,2016-02-15,,"Waste, Street Cleaning and Litter",Dumped Rubbish,5
CLOSED,2016-05-12,2016-06-27,,Asset maintenance,Street Lighting Maintenance,46
CLOSED,2016-02-05,2016-02-12,,"Waste, Street Cleaning and Litter",Syringe pick-up services,7
CLOSED,2015-06-30,2015-07-01,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
CLOSED,2016-05-13,2016-05-16,,"Waste, Street Cleaning and Litter",Public Litter Bin,3
CLOSED,2016-05-13,2016-05-18,,"Waste, Street Cleaning and Litter",Missing Bin,5
CLOSED,2015-09-04,2015-09-21,Parkville,Graffiti,Graffiti Removal,17
CLOSED,2016-05-12,2016-05-12,,"Waste, Street Cleaning and Litter",Street Cleaning services,1
CLOSED,2016-02-10,2016-02-12,,Parks and Trees,Tree Maintenance Services,2
CLOSED,2016-02-09,2016-02-22,,Parks and Trees,Tree Maintenance Services,13
CLOSED,2016-05-09,2016-05-13,,Parks and Trees,Tree Maintenance Services,4
CLOSED,2016-05-09,2016-05-13,,"Waste, Street Cleaning and Litter",Dumped Rubbish,4
CLOSED,2016-05-09,2016-05-18,,Parking,Parking Meter Service,9
CLOSED,2016-05-12,2016-05-16,,"Waste, Street Cleaning and Litter",Street Cleaning services,4
CLOSED,2016-02-09,2016-02-16,,Parks and Trees,Tree Maintenance Services,7
CLOSED,2015-05-17,2015-05-18,,"Waste, Street Cleaning and Litter",Waste collection services,1
CLOSED,2015-05-06,2015-05-19,,Roads and Traffic,Road and Footpath Maintenance,13
CLOSED,2015-05-06,2015-05-09,,"Waste, Street Cleaning and Litter",Dumped Rubbish,3
CLOSED,2015-04-08,2016-01-07,,Roads and Traffic,Traffic Management,274
CLOSED,2015-04-14,2015-04-16,,"Waste, Street Cleaning and Litter",Street Cleaning services,2
CLOSED,2015-05-17,2015-05-17,,Parking,Parking Compliance Services,1
CLOSED,2015-06-29,2015-07-17,,Parks and Trees,Tree Maintenance Services,18
CLOSED,2015-06-29,2015-06-30,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2015-06-15,2015-06-15,,"Waste, Street Cleaning and Litter",Damaged Bins,1
CLOSED,2015-04-16,2015-07-15,,Roads and Traffic,Traffic Management,90
CLOSED,2015-05-18,2015-05-25,,"Waste, Street Cleaning and Litter",Damaged Bins,7
CLOSED,2015-05-18,2015-05-19,,"Waste, Street Cleaning and Litter",Public Litter Bin,1
CLOSED,2015-07-03,2015-07-08,,"Waste, Street Cleaning and Litter",Street Cleaning services,5
CLOSED,2015-05-27,2015-06-24,,Roads and Traffic,Traffic Management,28
CLOSED,2015-04-20,2015-05-01,,Roads and Traffic,Road and Footpath Maintenance,11
CLOSED,2015-05-22,2015-06-04,,Graffiti,Graffiti Removal,13
CLOSED,2015-07-03,2015-08-03,,Graffiti,Graffiti Removal,31
CLOSED,2015-07-04,2015-07-04,,Parking,Parking Compliance Services,1
CLOSED,2015-06-30,2015-07-01,,"Waste, Street Cleaning and Litter",Street Cleaning services,1
CLOSED,2015-06-02,2015-06-05,,Asset maintenance,Street Maintenance,3
CLOSED,2015-06-25,2015-06-25,,Roads and Traffic,Drain Maintenance,1
CLOSED,2015-04-14,2015-07-16,,Roads and Traffic,Traffic Management,93
CLOSED,2015-07-21,2015-08-04,,Parks and Trees,Park Cleaning,14
CLOSED,2015-08-01,2015-08-02,,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
CLOSED,2015-09-06,2015-09-07,,Asset maintenance,Street Maintenance,1
CLOSED,2015-07-16,2015-07-16,,Parking,Parking Meter Service,1
CLOSED,2015-08-21,2015-09-24,,Parks and Trees,Park Cleaning,34
CLOSED,2015-08-03,2015-08-04,,"Waste, Street Cleaning and Litter",Missing Bin,1
CLOSED,2015-08-22,2015-08-22,,Parking,Parking Compliance Services,1
CLOSED,2015-08-23,2015-08-23,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2015-07-19,2015-07-29,,Graffiti,Graffiti Removal,10
CLOSED,2015-08-07,2015-08-13,,"Waste, Street Cleaning and Litter",Dumped Rubbish,6
CLOSED,2015-08-04,2015-08-06,,"Waste, Street Cleaning and Litter",Waste collection services,2
CLOSED,2015-07-14,2015-07-15,,"Waste, Street Cleaning and Litter",Dumped Rubbish,1
CLOSED,2016-01-07,2016-01-07,,Parking,Parking Meter Service,1
CLOSED,2016-05-09,2016-05-16,,"Waste, Street Cleaning and Litter",Missed Bin Collection,7
CLOSED,2016-02-08,2016-02-15,,Parking,Parking Meter Service,7
CLOSED,2016-03-04,2016-03-07,,Graffiti,Graffiti Removal,3
CLOSED,2016-05-03,2016-05-05,,Parks and Trees,Tree Maintenance Services,2
CLOSED,2015-12-10,2015-12-31,,"Waste, Street Cleaning and Litter",Dumped Rubbish,21
CLOSED,2015-10-07,2015-10-08,,"Waste, Street Cleaning and Litter",Syringe pick-up services,1
CLOSED,2015-12-10,2015-12-16,,Roads and Traffic,Traffic Management,6
CLOSED,2016-05-02,2016-05-26,,Graffiti,Graffiti Removal,24
CLOSED,2015-10-01,2015-10-28,,Graffiti,Graffiti Removal,27
CLOSED,2015-10-03,2015-10-05,,Roads and Traffic,Drain Maintenance,2
CLOSED,2015-11-13,2015-11-13,,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
CLOSED,2016-04-27,2016-05-17,,Graffiti,Graffiti Removal,20
CLOSED,2014-11-19,2014-11-27,,"Waste, Street Cleaning and Litter",Dumped Rubbish,8
CLOSED,2014-12-01,2014-12-03,,"Waste, Street Cleaning and Litter",Damaged Bins,2
CLOSED,2014-11-25,2014-12-01,,Asset maintenance,Street Maintenance,6
CLOSED,2014-12-09,2014-12-12,,Graffiti,Graffiti Removal,3
CLOSED,2014-12-05,2014-12-09,,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
CLOSED,2014-12-19,2014-12-24,,"Waste, Street Cleaning and Litter",Missing Bin,5
CLOSED,2015-01-25,2015-07-07,,"Waste, Street Cleaning and Litter",Damaged Bins,163
CLOSED,2014-11-20,2014-11-21,,"Waste, Street Cleaning and Litter",Waste collection services,1
CLOSED,2014-12-01,2014-12-10,,Roads and Traffic,Road and Footpath Maintenance,9
